y4_hhid,qx_type,interview_status,PID,hhmember,baselinemember,baselinemembercount,individualmover,moverbasehh,id_code,hh_b03,hh_b04,hh_b05a,hh_b05b,hh_b05_2,hh_b05_2_1,hh_b06a,hh_b06b,hh_b06_1,hh_b06_2,hh_b06_4,hh_b06_5b,hh_b07,hh_b08,hh_b09,hh_b10a,hh_b10b,hh_b10_oth,hh_b11,hh_b12,hh_b13,hh_b13_oth,hh_b14,hh_b15a,hh_b15b,hh_b15b_oth,hh_b16a,hh_b16b,hh_b17,hh_b18,hh_b19a,hh_b19b,hh_b20,hh_b21,hh_b22,hh_b22_oth,hh_b23,hh_b24,hh_b24_1,hh_b24_1_oth,hh_b24_2,hh_b25,hh_b26a,hh_b26b,hh_b26c,hh_b26d,hh_b26e,hh_b26f,hh_b26g,hh_b26h,hh_b27,hh_b28,hhsize
0528-008,2,2,3042000109,1,1,3,0,.,2,2,2,19,,,,4,1999,10,1,2,,6,7,1,,,,2,0,11,,5,,,,97,,,1,97,,,1,,,3,1,1,,2,1,1,2012,,,,,,,,,4
0528-008,2,2,3042000110,1,1,3,0,.,3,1,3,6,,2,,2,2012,8,1,,,6,7,1,,,,2,0,1,,5,,,,1,1,,4,1,2,,1,,,,,,,,,,,,,,,,,,,4
0528-008,2,2,3042000111,1,1,3,0,.,4,1,3,3,5,1,1,12,2015,11,1,,,6,7,1,,,,2,0,1,,5,,,,1,1,,4,1,2,,1,,,,,,,,,,,,,,,,,,,4
0528-013,2,2,3042000112,1,1,1,0,.,1,2,1,59,,,,2,1960,13,1,2,,0,7,3,208,,,2,47,4,,3,208,,,98,,33,1,98,,46,1,1,,3,5,,,,,,,,,,,,,,,4
0528-013,2,2,4052801302,1,0,1,0,.,2,1,4,10,,2,,3,2009,99,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,,,,,,,,,,,,,,,,,,,4
0528-013,2,2,4052801303,1,0,1,0,.,3,2,5,34,,,,5,1985,99,1,2,,0,7,3,208,,,2,15,2,,3,208,,,97,,,1,97,,,1,,,3,5,,,,,,,,,,,,,,,4
0528-013,2,2,4052801304,1,0,1,0,.,4,1,3,32,,,,12,1987,99,1,2,,4,0,1,,,,1,,,,,,,,98,,6,1,1,1,,1,,,3,6,,,,,,,,,,,,,,,4
0529-008,2,2,3042000801,1,1,4,0,.,1,1,1,42,,,,2,1977,10,1,1,1,0,7,2,,,,1,,,,,,,,98,,4,1,97,,,1,1,,3,1,2,,3,1,2,2015,,,,,,,,,6
0529-008,2,2,108600108,1,1,4,0,.,2,2,2,29,,,,6,1990,8,1,1,1,0,7,2,,,,1,,,,,,,,98,,4,1,97,,,1,,,3,1,2,,3,1,1,2015,,,,,,,,,6
0529-008,2,2,4052900803,1,0,4,0,.,3,2,3,20,,,,6,1999,99,1,1,1,0,7,3,304,,,1,,,,,,,,1,1,,3,97,,,2,,,4,6,,,,,,,,,,,,,,,6
0529-008,2,2,3042000803,1,1,4,0,.,4,1,3,16,,,,8,2002,9,1,2,,0,7,3,305,,,1,,,,,,,,1,1,,3,97,,,2,,,4,6,,,,,,,,,,,,,,,6
0529-008,2,2,3042000804,1,1,4,0,.,5,1,7,33,,,,6,1986,11,1,2,,0,7,2,,,,1,,,,,,,,98,,8,1,97,,,1,,,3,6,,,,,,,,,,,,,,,6
0529-008,2,2,4052900806,1,0,4,0,.,6,1,12,23,,,,5,1996,99,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,97,,,1,,,3,6,,,,,,,,,,,,,,,6
0530-001,2,2,108600201,1,1,3,0,.,1,1,1,46,,,,1,1973,1,1,1,1,0,7,3,201,,,2,8,8,,3,201,,,97,,,1,97,,,1,1,,3,1,2,,3,1,2,2011,,,,,,,,,3
0530-001,2,2,108602,1,1,3,0,.,2,2,2,28,,,,7,1991,2,1,1,1,0,7,2,,,,1,,,,,,,,97,,,1,97,,,1,,,3,1,2,,3,1,1,2011,,,,,,,,,3
0530-001,2,2,108606,1,1,3,0,.,3,1,3,13,,,,8,2006,3,1,2,,0,7,2,,,,1,,,,,,,,1,1,,1,1,2,,1,,,3,6,,,,,,,,,,,,,,,3
0532-001,2,2,108801,1,1,7,0,.,1,1,1,50,,,,2,1969,1,1,1,1,0,5,3,205,,,1,,,,,,,,98,,28,1,98,,49,1,1,,4,6,,,,,,,,,,,,,,,7
0532-001,2,2,108802,1,1,7,0,.,2,2,2,45,,,,3,1974,2,1,1,1,1,2,3,206,,,1,,,,,,,,98,,6,1,98,,43,1,,,4,1,2,,3,1,1,1990,,,,,,,,,7
0532-001,2,2,108804,1,1,7,0,.,3,1,3,25,,,,3,1994,4,1,1,1,0,3,2,,,,1,,,,,,,,1,1,,2,1,2,,1,,,4,6,,,,,,,,,,,,,,,7
0532-001,2,2,108805,1,1,7,0,.,4,2,3,23,,,,2,1996,5,1,1,1,3,7,1,,,,1,,,,,,,,1,1,,2,1,2,,1,,,4,6,,,,,,,,,,,,,,,7
0532-001,2,2,108806,1,1,7,0,.,5,2,3,17,,,,7,2001,6,1,2,,0,1,1,,,,1,,,,,,,,1,1,,2,1,2,,1,,,4,6,,,,,,,,,,,,,,,7
0532-001,2,2,108807,1,1,7,0,.,6,1,3,15,,,,5,2003,7,1,1,1,2,4,1,,,,1,,,,,,,,1,1,,2,1,2,,1,,,4,6,,,,,,,,,,,,,,,7
0532-001,2,2,108808,1,1,7,0,.,7,1,3,10,,2,,12,2008,8,1,2,,0,7,1,,,,1,,,,,,,,1,1,,2,1,2,,1,,,,,,,,,,,,,,,,,,,7
0533-001,1,1,108901,1,1,6,0,.,1,1,1,47,,,,2,1972,1,1,1,1,0,7,3,206,,,1,,,,,,,,98,,40,10,97,,,1,1,,3,1,2,,1,1,2,1994,,,,,,,,,9
0533-001,1,1,108900102,1,1,6,0,.,2,2,2,44,,,,2,1974,2,1,1,1,0,7,3,206,,,1,,,,,,,,98,,19,1,97,,,1,,,3,1,1,,3,1,1,1994,,,,,,,,,9
0533-001,1,1,108900104,1,1,6,0,.,3,2,3,17,,,,10,2001,4,1,2,,1,0,3,202,,,1,,,,,,,,1,1,,4,1,2,,1,,,3,6,,,,,,,,,,,,,,,9
0533-001,1,1,108900105,1,1,6,0,.,4,1,3,15,,,,5,2003,5,1,2,,0,7,3,202,,,1,,,,,,,,1,1,,4,1,2,,1,,,3,6,,,,,,,,,,,,,,,9
0533-001,1,1,108900106,1,1,6,0,.,5,2,3,12,,1,1,6,2006,6,1,2,,0,7,3,205,,,1,,,,,,,,1,1,,4,1,2,,1,,,3,6,,,,,,,,,,,,,,,9
0533-001,1,1,108900107,1,1,6,0,.,6,2,3,7,,2,,8,2011,7,1,,,0,7,1,,,,1,,,,,,,,1,1,,4,1,2,,1,,,,,,,,,,,,,,,,,,,9
0533-001,1,1,4053300107,1,0,6,0,.,7,1,3,24,,,,10,1995,99,1,2,,12,7,3,206,,,1,,,,,,,,1,1,,4,1,2,,1,,,3,1,1,,2,1,8,2019,,,,,,,,,9
0533-001,1,1,4053300108,1,0,6,0,.,8,2,8,20,,,,10,1999,99,1,2,,0,7,3,204,,,1,,,,,,,,97,,,3,97,,,3,,,3,1,2,,3,1,7,2019,,,,,,,,,9
0533-001,1,1,4053300109,0,0,6,0,.,9,1,5,13,,,,2,2006,99,2,2,,12,3,3,205,,,2,0,2,,3,206,,,98,,0,2,97,,,2,,,3,6,,,,,,,,,,,,,,,9
0534-003,1,1,3042400301,1,1,5,0,.,1,2,2,43,,,,12,1976,4,1,1,2,0,7,1,,,,1,,,,,,,,98,,33,1,97,,,1,,,3,1,2,,3,1,6,2017,,,,,,,,,6
0534-003,1,1,3042400302,1,1,5,0,.,2,1,3,24,,,,12,1995,7,1,1,2,2,0,2,,,,1,,,,,,,,97,,,7,1,1,,3,,,2,6,,,,,,,,,,,,,,,6
0534-003,1,1,108900103,1,1,5,0,.,3,1,5,23,,,,10,1995,3,,2,,12,0,2,,,,1,,,,,,,,97,,,1,97,,,1,,,3,6,,,,,,,,,,,,,,,6
0534-003,1,1,3042400304,1,1,5,0,.,4,1,3,17,,,,2,2002,6,1,1,2,0,7,2,,,,1,,,,,,,,97,,,1,1,1,,2,,,3,6,,,,,,,,,,,,,,,6
0534-003,1,1,3042400305,1,1,5,0,.,5,1,3,16,,,,9,2003,5,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,97,,,3,,,3,6,,,,,,,,,,,,,,,6
0534-003,1,1,4053400306,1,0,5,0,.,6,1,1,37,,,,8,1982,99,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,97,,,3,1,,3,6,,,,,,,,,,,,,,,6
0535-008,1,1,108900108,1,1,4,0,.,1,1,1,38,,,,12,1980,8,1,2,,0,7,1,,,,2,1,13,RETURN HOME,3,208,,,98,,25,1,97,,,1,1,,3,1,2,,2,1,2,2000,,,,,,,,,6
0535-008,1,1,3042400802,1,1,4,0,.,2,2,2,37,,,,2,1982,9,1,2,,0,7,3,208,,,2,1,4,,3,208,,,98,,34,1,97,,,1,,,3,1,2,,3,1,1,2000,,,,,,,,,6
0535-008,1,1,3042400803,1,1,4,0,.,3,2,3,9,,2,,4,2010,10,1,,,0,7,3,208,,,2,1,1,,3,208,,,1,1,,3,1,2,,1,,,,,,,,,,,,,,,,,,,6
0535-008,1,1,4053500804,1,0,4,0,.,4,1,3,6,,2,,3,2013,99,1,,,0,7,3,208,,,2,1,1,,3,208,,,1,1,,3,1,2,,1,,,,,,,,,,,,,,,,,,,6
0535-008,1,1,3042400804,1,1,4,0,.,5,2,3,4,3,1,1,5,2015,12,1,,,0,7,3,208,,,2,1,1,,3,208,,,1,1,,3,1,2,,1,,,,,,,,,,,,,,,,,,,6
0535-008,1,1,4053500806,1,0,4,0,.,6,2,3,1,9,1,1,10,2017,99,1,,,0,7,3,208,,,2,1,1,,3,208,,,1,1,,3,1,2,,1,,,,,,,,,,,,,,,,,,,6
0536-001,2,2,109002,1,1,3,0,.,1,2,1,60,,,,6,1958,1,1,1,2,0,7,2,,,,2,30,4,,2,,,,98,,41,1,98,,32,1,1,,3,4,,,,,,,,,,,,,,,5
0536-001,2,2,109005,1,1,3,0,.,2,1,3,40,,,,8,1978,3,1,2,,0,7,2,,,,2,30,1,,2,,,,98,,33,3,1,1,,1,,,3,6,,,,,,,,,,,,,,,5
0536-001,2,2,109006,1,1,3,0,.,3,1,3,30,,,,7,1988,4,1,2,,0,7,1,,,,1,,,,,,,,98,,23,1,1,1,,1,,,1,6,,,,,,,,,,,,,,,5
0536-001,2,2,4053600104,1,0,3,0,.,4,2,3,23,,,,4,1996,99,2,2,,0,7,1,,,,1,,,,,,,,98,,3,1,1,1,,1,,,3,1,2,,3,2,,,,,,,,,1,1,5
0536-001,2,2,4053600105,1,0,3,0,.,5,1,4,2,11,2,,9,2016,99,2,,,0,7,1,,,,1,,,,,,,,97,,,1,1,4,,3,,,,,,,,,,,,,,,,,,,5
0538-001,2,2,109000301,1,1,2,0,.,1,1,1,38,,,,6,1981,1,1,1,1,5,6,2,,,,2,6,4,,2,,,,98,,21,1,98,,16,1,1,,3,1,1,,3,1,2,2014,,,,,,,,,3
0538-001,2,2,3042600102,1,1,2,0,.,2,2,2,26,,,,8,1993,3,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,98,,21,1,,,3,1,1,,2,1,1,2014,,,,,,,,,3
0538-001,2,2,4053800104,1,0,2,0,.,4,2,3,0,8,1,1,8,2018,99,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,3
0540-001,1,1,109101,1,1,8,0,.,1,1,1,44,,,,11,1975,1,1,1,1,0,7,3,202,,,2,12,2,,3,202,,,98,,35,1,98,,36,1,1,,4,1,2,,2,1,2,1999,,,,,,,,,8
0540-001,1,1,109102,1,1,8,0,.,2,2,3,36,,,,2,1983,2,1,1,1,0,7,2,,,,2,12,4,,3,202,,,97,,,1,97,,,1,,,4,1,2,,2,1,1,1999,,,,,,,,,8
0540-001,1,1,109103,1,1,8,0,.,3,2,3,18,,,,8,2001,3,1,2,,0,7,2,,,,2,12,1,,3,202,,,1,1,,1,1,2,,1,,,4,6,,,,,,,,,,,,,,,8
0540-001,1,1,109104,1,1,8,0,.,4,1,3,16,,,,8,2003,4,1,2,,0,7,3,202,,,2,12,1,,3,202,,,1,1,,1,1,2,,1,,,4,6,,,,,,,,,,,,,,,8
0540-001,1,1,109105,1,1,8,0,.,5,1,3,12,,2,,3,2007,5,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,4,6,,,,,,,,,,,,,,,8
0540-001,1,1,109100106,1,1,8,0,.,6,1,3,7,,2,,5,2011,6,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,8
0540-001,1,1,3042700107,1,1,8,0,.,7,1,3,9,,2,,5,2009,7,,,,3,7,3,202,,,1,,,,,,,,97,,,1,97,,,1,,,,,,,,,,,,,,,,,,,8
0540-001,1,1,3042700108,1,1,8,0,.,8,2,3,3,6,1,1,10,2015,8,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,97,,,1,,,,,,,,,,,,,,,,,,,8
0541-001,2,2,109201,1,1,2,0,.,1,1,1,41,,,,3,1978,1,1,2,,0,7,3,208,,,2,5,4,,2,,,,98,,14,1,98,,8,1,1,,3,1,1,,3,1,2,2012,,,,,,,,,2
0541-001,2,2,109200102,1,1,2,0,.,2,2,2,32,,,,8,1986,2,1,2,,0,7,1,,,,2,3,2,,2,,,,97,,,1,97,,,1,,,3,1,1,,2,1,1,2012,,,,,,,,,2
0542-003,2,2,3042800301,1,1,5,0,.,1,1,1,30,,,,4,1988,6,1,1,1,0,7,2,,,,1,,,,,,,,98,,8,10,98,,12,10,1,,3,1,1,,2,1,2,2012,,,,,,,,,6
0542-003,2,2,3042800302,1,1,5,0,.,2,2,2,29,,,,1,1990,4,1,1,1,0,7,2,,,,1,,,,,,,,97,,,1,97,,,1,,,3,1,1,,2,1,1,2012,,,,,,,,,6
0542-003,2,2,3042800303,1,1,5,0,.,3,1,3,6,,1,1,6,2012,7,1,,,0,7,1,,,,1,,,,,,,,1,1,,4,1,2,,4,,,,,,,,,,,,,,,,,,,6
0542-003,2,2,109203,1,1,5,0,.,4,1,5,20,,,,9,1999,3,1,2,,0,7,3,107,,,1,,,,,,,,97,,,10,98,,9,4,,,3,6,,,,,,,,,,,,,,,6
0542-003,2,2,3042800305,1,1,5,0,.,5,1,5,20,,,,11,1999,5,1,2,,0,7,1,,,,1,,,,,,,,98,,10,10,98,,2,10,,,3,6,,,,,,,,,,,,,,,6
0542-003,2,2,4054200306,1,0,5,0,.,6,1,3,1,0,1,1,5,2018,99,1,,,0,7,1,,,,1,,,,,,,,1,1,,4,1,2,,4,,,,,,,,,,,,,,,,,,,6
0543-004,2,2,4054300401,1,0,1,0,.,1,2,1,57,,,,8,1962,99,1,2,,0,7,1,,,,1,,,,,,,,98,,26,1,98,,47,1,1,,3,1,2,,2,1,2,1983,,,,,,,,,4
0543-004,2,2,4054300402,1,0,1,0,.,2,1,2,62,,,,1,1957,99,1,2,,0,7,3,303,,,2,36,4,,3,303,,,98,,40,1,98,,10,1,,,3,1,2,,3,1,1,1983,,,,,,,,,4
0543-004,2,2,4054300403,1,0,1,0,.,3,1,3,16,,,,1,2003,99,1,2,,0,7,1,,,,1,,,,,,,,1,2,,1,1,1,,2,,,3,6,,,,,,,,,,,,,,,4
0543-004,2,2,109204,1,1,1,0,.,4,2,4,16,,,,9,2002,4,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,98,,10,1,,,3,6,,,,,,,,,,,,,,,4
0543-005,2,2,3042800401,1,1,1,0,.,1,2,2,26,,,,1,1993,5,1,1,1,0,7,3,208,,,1,,,,,,,,98,,2,3,98,,11,3,,,3,1,2,,2,1,5,2017,,,,,,,,,3
0543-005,2,2,4054300504,1,0,1,0,.,4,2,3,1,5,1,1,2,2018,99,1,,,0,7,2,,,,1,,,,,,,,1,5,,5,1,1,,6,,,,,,,,,,,,,,,,,,,3
0543-005,2,2,4054300505,1,0,1,0,.,5,1,1,28,,,,11,1991,99,1,1,1,6,0,2,,,,1,,,,,,,,97,,,5,97,,,2,1,,3,1,2,,3,1,1,2017,,,,,,,,,3
0544-001,1,1,109301,1,1,1,0,.,1,1,1,42,,,,6,1977,1,1,1,1,0,7,1,,,,1,,,,,,,,98,,18,1,98,,25,1,1,,4,1,1,,2,1,2,2004,,,,,,,,,7
0544-001,1,1,4054400102,1,0,1,0,.,2,2,2,34,,,,3,1985,99,1,2,,5,7,2,,,,2,1,4,,2,,,,97,,,1,97,,,1,,,1,1,1,,3,1,1,2002,,,,,,,,,7
0544-001,1,1,4054400103,1,0,1,0,.,3,2,3,15,,,,11,2004,99,1,2,,5,7,1,,,,2,1,2,,2,,,,1,1,,2,1,2,,1,,,4,6,,,,,,,,,,,,,,,7
0544-001,1,1,4054400104,1,0,1,0,.,4,2,3,12,,1,2,8,2007,99,1,2,,5,5,1,,,,2,1,1,,2,,,,1,1,,2,1,2,,1,,,4,6,,,,,,,,,,,,,,,7
0544-001,1,1,4054400105,1,0,1,0,.,5,1,3,9,,1,1,8,2010,99,1,,,5,7,1,,,,2,1,1,,2,,,,1,1,,2,1,2,,1,,,,,,,,,,,,,,,,,,,7
0544-001,1,1,4054400106,1,0,1,0,.,6,1,3,7,,1,1,8,2012,99,1,,,5,7,1,,,,2,1,1,,2,,,,1,1,,2,1,2,,1,,,,,,,,,,,,,,,,,,,7
0544-001,1,1,4054400107,1,0,1,0,.,7,1,3,1,11,1,1,6,2017,99,1,,,5,7,1,,,,2,1,1,,2,,,,1,1,,2,1,2,,1,,,,,,,,,,,,,,,,,,,7
0545-002,1,1,109302,1,1,7,0,.,1,2,1,34,,,,2,1985,2,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,1,,3,4,,,,,,,,,,,,,,,7
0545-002,1,1,109303,1,1,7,0,.,2,2,3,19,,,,3,2000,3,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,1,1,,1,,,3,6,,,,,,,,,,,,,,,7
0545-002,1,1,109304,1,1,7,0,.,3,1,3,16,,,,3,2003,4,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,1,1,,1,,,3,6,,,,,,,,,,,,,,,7
0545-002,1,1,109305,1,1,7,0,.,4,1,3,13,,,,1,2006,5,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,1,1,,1,,,3,6,,,,,,,,,,,,,,,7
0545-002,1,1,109306,1,1,7,0,.,5,2,3,11,,2,,2,2008,6,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,7
0545-002,1,1,109307,1,1,7,0,.,6,1,3,11,,2,,2,2008,7,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,7
0545-002,1,1,109300108,1,1,7,0,.,7,2,3,6,,2,,6,2012,8,1,,,0,7,2,,,,1,,,,,,,,97,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,7
0546-001,2,2,109401,1,1,4,0,.,1,1,1,42,,,,2,1977,1,1,1,1,0,7,1,,,,1,,,,,,,,98,,25,1,98,,20,1,1,,4,2,1,,2,1,2,1997,1,7,2004,2,,,2,,10
0546-001,2,2,109402,0,1,4,0,.,2,2,2,39,,,,5,1980,2,3,1,2,4,0,5,,,,1,,,,,,,,97,,,1,97,,,2,,,4,1,1,,3,1,1,1997,,,,,,,,,10
0546-001,2,2,109403,1,1,4,0,.,3,1,3,13,,,,5,2006,3,1,2,,10,0,1,,,,2,3,3,,2,,,,1,1,,1,1,2,,1,,,4,6,,,,,,,,,,,,,,,10
0546-001,2,2,3043000107,1,1,4,0,.,6,2,5,5,7,2,,10,2013,7,1,,,4,0,6,301,,,1,,,,,,,,97,,,1,97,,,1,,,,,,,,,,,,,,,,,,,10
0546-001,2,2,4054600107,1,0,4,0,.,7,2,2,34,,,,3,1985,99,1,2,,0,7,6,209,,,1,,,,,,,,97,,,1,97,,,1,,,4,1,1,,3,1,1,2004,,,,,,,,,10
0546-001,2,2,4054600108,1,0,4,0,.,8,1,7,14,,,,2,2005,99,1,2,,0,7,6,301,,,1,,,,,,,,97,,,1,97,,,1,,,4,6,,,,,,,,,,,,,,,10
0546-001,2,2,4054600109,1,0,4,0,.,9,2,3,13,,,,1,2006,99,1,2,,0,7,6,209,,,1,,,,,,,,1,1,,1,1,7,,1,,,4,6,,,,,,,,,,,,,,,10
0546-001,2,2,4054600110,1,0,4,0,.,10,1,3,11,,2,,1,2008,99,1,2,,0,7,6,209,,,1,,,,,,,,1,1,,1,1,7,,1,,,,,,,,,,,,,,,,,,,10
0546-001,2,2,4054600112,1,0,4,0,.,12,1,3,6,,2,,4,2013,99,1,,,0,7,6,209,,,1,,,,,,,,1,1,,1,1,7,,1,,,,,,,,,,,,,,,,,,,10
0546-001,2,2,4054600113,1,0,4,0,.,13,2,3,3,4,2,,1,2016,99,1,,,0,7,6,209,,,1,,,,,,,,1,1,,1,1,7,,1,,,,,,,,,,,,,,,,,,,10
0546-005,2,4,4054600501,1,0,1,0,.,1,1,1,23,,,,7,1996,99,1,2,,4,7,1,,,,1,,,,,,,,98,,18,1,98,,15,1,3,,4,1,2,,1,1,2,2017,,,,,,,,,3
0546-005,2,4,109405,1,1,1,0,.,2,2,2,18,,,,2,2001,5,1,2,,0,7,2,,,,1,,,,,,,,97,,,1,97,,,1,,,4,1,2,,1,1,1,2017,,,,,,,,,3
0546-005,2,4,4054600503,1,0,1,0,.,3,2,3,0,8,1,1,3,2019,99,1,,,0,7,3,205,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,3
0547-007,2,2,109400107,1,1,2,0,.,1,1,1,24,,,,10,1994,7,1,2,,6,0,1,,,,1,,,,,,,,97,,,1,98,,10,1,1,,4,1,2,,1,1,2,2016,,,,,,,,,4
0547-007,2,2,3043000702,1,1,2,0,.,2,2,2,20,,,,5,1999,8,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,,,4,1,2,,1,1,1,2016,,,,,,,,,4
0547-007,2,2,4054700703,1,0,2,0,.,3,1,3,1,11,1,1,5,2017,99,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,4
0547-007,2,2,4054700704,1,0,2,0,.,4,2,3,0,0,1,1,5,2019,99,1,,,0,0,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,4
0548-001,2,2,109400401,1,1,4,0,.,1,1,1,33,,,,7,1986,1,1,1,2,0,7,2,,,,2,13,10,,3,206,,,98,,10,1,98,,15,1,1,,4,1,2,,3,1,4,2014,,,,,,,,,6
0548-001,2,2,109400403,1,1,4,0,.,2,2,3,12,,2,,5,2007,3,,2,,0,0,2,,,,1,,,,,,,,1,1,,3,97,,,4,,,4,6,,,,,,,,,,,,,,,6
0548-001,2,2,3043100106,1,1,4,0,.,4,2,2,24,,,,8,1995,6,1,1,1,0,7,6,210,,,2,15,2,,2,,,,98,,15,4,97,,,4,,,4,1,2,,2,1,1,2014,,,,,,,,,6
0548-001,2,2,3043100107,1,1,4,0,.,5,2,3,3,6,2,,6,2016,7,1,,,0,7,1,,,,1,,,,,,,,1,1,,4,1,4,,4,,,,,,,,,,,,,,,,,,,6
0548-001,2,2,4054800106,1,0,4,0,.,6,1,3,0,1,2,,8,2019,99,1,,,0,7,1,,,,1,,,,,,,,1,1,,2,1,4,,4,,,,,,,,,,,,,,,,,,,6
0548-001,2,2,4054800107,1,0,4,0,.,7,2,3,12,,2,,5,2007,99,1,2,,0,0,2,,,,1,,,,,,,,1,1,,3,97,,,4,,,4,6,,,,,,,,,,,,,,,6
0548-005,2,4,4054800501,1,0,1,0,.,1,1,1,32,,,,5,1987,99,1,1,1,0,7,3,205,,,2,22,2,,3,301,,,98,,10,10,98,,1,10,1,,4,1,1,,3,1,2,2016,,,,,,,,,6
0548-005,2,4,109404,1,1,1,0,.,2,2,2,20,,,,4,1999,5,1,1,1,0,7,3,301,,,2,3,4,,3,301,,,97,,,10,97,,,1,,,4,1,1,,3,1,1,2016,,,,,,,,,6
0548-005,2,4,4054800503,1,0,1,0,.,3,2,3,2,4,2,,6,2017,99,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,3,,,,,,,,,,,,,,,,,,,6
0548-005,2,4,4054800504,1,0,1,0,.,4,1,3,1,2,1,1,9,2018,99,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,3,,,,,,,,,,,,,,,,,,,6
0548-005,2,4,4054800505,1,0,1,0,.,5,1,7,13,,,,5,2006,99,1,2,,0,7,6,210,,,1,,,,,,,,97,,,1,97,,,1,,,4,6,,,,,,,,,,,,,,,6
0548-005,2,4,4054800506,1,0,1,0,.,6,1,5,11,,2,,5,2008,99,1,2,,0,7,3,301,,,2,1,2,,3,301,,,97,,,1,97,,,1,,,,,,,,,,,,,,,,,,,6
0549-001,1,1,109501,1,1,3,0,.,1,1,1,69,,,,1,1950,1,1,2,,0,7,1,,,,1,,,,,,,,98,,56,1,98,,60,1,1,,3,5,,,,,,,,,,,,,,,4
0549-001,1,1,109505,1,1,3,0,.,2,2,4,19,,,,9,2000,3,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,2,,,3,6,,,,,,,,,,,,,,,4
0549-001,1,1,109500104,1,1,3,0,.,3,2,4,16,,,,5,2003,4,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,,,3,6,,,,,,,,,,,,,,,4
0549-001,1,1,4054900104,1,0,3,0,.,4,1,3,40,,,,2,1978,99,1,1,2,0,7,3,210,,,1,,,,,,,,1,1,,1,98,,20,1,,,3,4,,,,,,,,,,,,,,,4
0550-001,1,1,109500401,1,1,4,0,.,1,1,1,28,,,,6,1991,1,1,1,1,3,3,3,205,,,2,8,10,,3,205,,,97,,,1,97,,,1,1,,3,1,1,,3,1,2,2010,,,,,,,,,4
0550-001,1,1,109504,1,1,4,0,.,2,2,2,27,,,,3,1992,2,1,2,,0,7,3,205,,,2,8,4,,3,205,,,97,,,1,98,,21,1,,,3,1,1,,2,1,1,2010,,,,,,,,,4
0550-001,1,1,109500403,1,1,4,0,.,3,2,3,8,,1,1,8,2010,3,1,,,0,7,1,,,,1,,,,,,,,1,1,,2,1,2,,1,,,,,,,,,,,,,,,,,,,4
0550-001,1,1,3043300104,1,1,4,0,.,4,2,3,5,7,1,1,11,2013,5,1,,,0,7,1,,,,1,,,,,,,,1,1,,2,1,2,,1,,,,,,,,,,,,,,,,,,,4
0550-004,1,1,4055000401,1,0,1,0,.,1,2,1,36,,,,4,1983,99,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,1,,3,4,,,,,,,,,,,,,,,6
0550-004,1,1,3043300105,1,1,1,0,.,2,2,3,18,,,,11,2001,4,1,2,,11,7,1,,,,1,,,,,,,,97,,,1,1,1,,1,,,3,6,,,,,,,,,,,,,,,6
0550-004,1,1,4055000403,1,0,1,0,.,3,2,3,11,,2,,11,2008,99,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,6
0550-004,1,1,4055000404,1,0,1,0,.,4,2,3,8,,2,,7,2011,99,1,,,0,7,1,,,,1,,,,,,,,97,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,6
0550-004,1,1,4055000405,1,0,1,0,.,5,2,3,2,4,2,,3,2017,99,1,,,0,7,1,,,,1,,,,,,,,97,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,6
